what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319977277796
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1319977277796
java.specification.name,sysinfo,,,"Java Platform API Specification",1319977277796
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319977277796
java.specification.version,sysinfo,,,"1.6",1319977277796
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319977277796
java.version,sysinfo,,,"1.6.0_29",1319977277796
java.vm.info,sysinfo,,,"mixed mode",1319977277796
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319977277796
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319977277796
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319977277796
java.vm.specification.version,sysinfo,,,"1.0",1319977277796
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1319977277796
java.vm.version,sysinfo,,,"20.4-b02",1319977277796
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1319977277796
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1319977277859
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1319977277906
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1319977277937
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1319977278265
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1319977278515
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1319977278515
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1319977278531
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1319977278546
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1319977278609
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1319977278640
